Edge TPU Compiler version 15.0.340273435
Input: model_4/quantmodel.tflite
Output: quantmodel_edgetpu.tflite

Operator                       Count      Status

EXPAND_DIMS                    3          Tensor has unsupported rank (up to 3 innermost dimensions mapped)
EXPAND_DIMS                    1          More than one subgraph is not supported
EXPAND_DIMS                    1          Mapped to Edge TPU
DEQUANTIZE                     1          Operation is working on an unsupported data type
CONV_2D                        2          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
SOFTMAX                        1          More than one subgraph is not supported
RESHAPE                        3          More than one subgraph is not supported
RESHAPE                        2          Mapped to Edge TPU
MAX_POOL_2D                    1          Mapped to Edge TPU
MAX_POOL_2D                    1          More than one subgraph is not supported
FULLY_CONNECTED                2          More than one subgraph is not supported
